Country,filter,1step_10YRSA,2steps_10YRSA,3steps_10YRSA,4steps_10YRSA,avg1-4steps_10YRSA
US,HP,0.989367316,0.965123228,0.989889602,1.019211071,0.981115178
US,HP3k,0.978393853,0.96913412,1.006636593,1.043319723,0.993597291
US,HP400k,1.003121664,1.049647032,1.097855226,1.14248699,1.102782273
US,Hamilton,0.99156444,1.061769962,1.096943921,1.140660634,1.120593887
US,Linear,1.010755715,1.029879984,1.045838183,1.057090493,1.054074937
US,Quad,0.991342002,1.032606034,1.12174252,1.212905083,1.121114547
US,BN,0.975911417,0.957123441,0.972190888,0.987726962,0.95737673
US,UC,0.999630899,0.9269011,0.898904775,0.904468397,0.885669864
US,avgcomb,0.944330663,0.931770925,0.949619815,0.97330873,0.915670846
US,Bates-Granger,0.933754608,0.919640047,0.930844206,0.948693892,0.88957012
GB,HP,1.013404407,0.991533377,0.992186418,0.982081653,0.975257843
GB,HP3k,1.007377692,0.988963236,0.988965891,0.982422543,0.966340875
GB,HP400k,1.043128347,1.056338157,1.053011777,1.039575271,1.103447262
GB,Hamilton,1.002955336,1.004964002,1.024542402,1.044042769,1.055260823
GB,Linear,1.047127504,1.051657421,1.044899438,1.054949347,1.104231047
GB,Quad,1.000373129,1.009129998,1.031233686,1.028277056,1.029905566
GB,BN,0.997728078,0.989917068,0.99883621,1.001285165,0.990071856
GB,UC,1.051701839,1.011209602,1.026690299,1.031493988,1.072767722
GB,avgcomb,0.989421761,0.976269717,0.982221513,0.9796824,0.950573638
GB,Bates-Granger,0.977491024,0.97278569,0.980747795,0.976548799,0.936699073
CA,HP,1.029298753,1.054365164,1.054986019,1.050051284,1.117012715
CA,HP3k,1.03175758,1.057639746,1.057129568,1.050160896,1.121203484
CA,HP400k,1.047884513,1.104297843,1.132331919,1.13477133,1.255754567
CA,Hamilton,1.060636915,1.141939741,1.11169303,1.079355364,1.251048511
CA,Linear,1.047860207,1.100609454,1.122175179,1.114208103,1.23513996
CA,Quad,1.051444756,1.111679699,1.121218464,1.122351387,1.25129553
CA,BN,1.018098917,1.020139647,1.020494406,1.012842004,1.0391938
CA,UC,1.040821663,1.073418157,1.071384484,1.050862429,1.143572941
CA,avgcomb,1.029113898,1.070771831,1.073375459,1.062828961,1.148064194
CA,Bates-Granger,1.022545311,1.06209771,1.064662912,1.051853283,1.127511722
AU,HP,0.986713983,0.974730871,0.96605683,1.01726793,0.972006297
AU,HP3k,0.98062587,0.985468197,0.986026548,1.04710849,0.991187404
AU,HP400k,1.004306563,1.035371877,1.069382451,1.109059069,1.082450691
AU,Hamilton,1.001118031,1.049354221,1.10312777,1.182056623,1.133780251
AU,Linear,1.01255115,1.030934773,1.04436197,1.062141822,1.061613992
AU,Quad,1.000453081,1.041320309,1.0630585,1.161702137,1.080087093
AU,BN,1.00912315,0.990478059,0.988561281,1.003473629,0.991725374
AU,UC,1.044814535,1.013537634,0.964491284,0.941283977,0.988629462
AU,avgcomb,0.954670234,0.957487043,0.952351407,0.986576569,0.932480295
AU,Bates-Granger,0.937374628,0.953459251,0.951913575,0.979373335,0.916688172
DE,HP,1.008155589,1.030116447,1.0680632,1.059648418,1.069014314
DE,HP3k,1.006984909,1.034923235,1.07350684,1.06135037,1.074454035
DE,HP400k,1.015849013,1.037099286,1.057502645,1.067776029,1.074903646
DE,Hamilton,0.996166568,1.000704619,1.019361287,0.993684157,0.998734993
DE,Linear,1.024798863,1.044377333,1.064458478,1.07486962,1.091886185
DE,Quad,1.005408654,1.038752176,1.080361354,1.086454429,1.083748117
DE,BN,1.018702615,1.01590435,1.044560476,1.034423037,1.046238531
DE,UC,1.048002488,1.067158636,1.091314252,1.109467118,1.148718142
DE,avgcomb,0.979403133,0.997751192,1.024023537,1.017454083,1.004351534
DE,Bates-Granger,0.970597506,0.995473598,1.021315425,1.013399315,0.992596613
FR,HP,1.004449842,1.000220184,1.03109191,1.040171419,1.045274403
FR,HP3k,1.003932571,1.003249985,1.033664991,1.046399953,1.052214564
FR,HP400k,1.037710232,1.078887073,1.089876154,1.082142921,1.169641305
FR,Hamilton,1.041308078,1.073933859,1.106225175,1.087967133,1.181839764
FR,Linear,1.043693316,1.092443348,1.104957575,1.095980454,1.201750855
FR,Quad,1.017055692,1.03593118,1.065770619,1.081605515,1.109668759
FR,BN,1.021624855,1.009903369,1.004311652,1.00200469,1.017121842
FR,UC,1.030627564,1.061433642,1.08366426,1.087489797,1.147719615
FR,avgcomb,1.007874638,1.022924152,1.040236956,1.038543109,1.069831624
FR,Bates-Granger,1.001119787,1.018195931,1.038016705,1.032594274,1.056106428
JP,HP,1.033327499,1.083535992,1.052589193,1.051641585,1.125627428
JP,HP3k,1.039678696,1.093619745,1.083559056,1.079589024,1.176524334
JP,HP400k,1.051624889,1.103464464,1.170453182,1.168609714,1.2420394
JP,Hamilton,1.037620038,1.027805575,1.005305881,0.985894954,1.036490454
JP,Linear,1.047955894,1.10237814,1.156947633,1.133220092,1.235377084
JP,Quad,1.055496758,1.132612598,1.165305004,1.183472204,1.317786938
JP,BN,1.025297582,1.019318919,1.016167808,1.00104461,1.01973464
JP,UC,1.040329834,1.087276372,1.136303958,1.117787004,1.216210576
JP,avgcomb,1.006799804,1.047290489,1.067190047,1.056220306,1.094347026
JP,Bates-Granger,0.992103179,1.043851037,1.057335546,1.036799998,1.066908944