"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",-4.15701567840935,-5.9958878656744,-11.1719484496036,0.0120027892152896,-3.73637833437422,-2.79285714285716,0.335389610389626,0.0120027892152896,-0.56713,NA
"21",-2.63058756626643,-4.44372512077442,-10.9228984197557,-0.0202711866125685,-2.69534547928277,-1.62770562770561,1.44635798983624,-0.0202711866125685,-0.79238,-1.17747060146223
"22",-1.51138158069931,-3.25318755856679,-10.8597170452312,0.0530838863387707,-2.01685824645004,-0.82015810276684,2.04051383399212,0.0530838863387707,-0.90459,-0.57720585534349
"23",-0.662799919655882,-2.29849066809042,-10.8778014102171,0.213084734017278,-1.54981129350101,-0.224999999999994,2.33739130434783,0.213084734017278,-0.91818,-0.284383216329418
"24",0.110353299470177,-1.38923687715017,-10.7836211280936,0.225985007392178,-1.09017457109402,0.362000000000009,2.55911538461538,0.225985007392178,-0.79266,-0.0485864582393565
"25",1.04575663593583,-0.284821310870214,-10.2998829843764,0.32614937986462,-0.391083221480097,1.19907692307692,2.93001709401709,0.32614937986462,-0.53924,-0.289959987654927
"26",1.29051705198815,0.136521400700531,-10.3939241318402,0.300170630073695,-0.316390239934057,1.39829059829061,2.69407814407813,0.300170630073695,-0.24141,0.0376768028902526
"27",2.01695309378778,1.06041752182007,-9.80512497312502,0.562992490995224,0.316728063766774,2.16772486772486,2.95571975916805,0.562992490995224,0.018458,-0.0536147348344151
"28",2.23283560063447,1.47552903400106,-9.61156255321977,0.390152210715094,0.501677216622814,2.48177339901478,2.77733990147783,0.390152210715094,0.25985,0.356678262865845
"29",2.8351774424751,2.2894670301217,-8.84663216895184,0.871385030505132,1.14218468757592,3.27034482758621,3.00983314794216,0.871385030505132,0.45084,0.3702925821334
"30",1.73439824003241,1.35445727495838,-9.90596435972037,0.227372499904574,0.105911033628411,2.29290322580646,1.69854838709678,0.227372499904574,0.43181,0.797506183236013
"31",2.89417215582534,2.70716474856954,-8.43436305657026,0.567733706225274,1.3946993737739,3.71129032258065,2.60865102639295,0.567733706225274,0.55151,-0.0573620815368496
"32",2.23770985886352,2.21021536912309,-8.826334369295,0.159373561807229,0.882894209576194,3.28011363636364,1.79239639037432,0.159373561807229,0.63786,0.783805700897504
"33",3.26177341557684,3.4149712718804,-7.29272136933668,0.958252437255325,2.10510604089759,4.66131907308379,2.63521772345301,0.958252437255325,0.69794,0.35353363545498
"34",3.4479339048044,3.77520603611386,-6.4935043762631,0.91611789508158,2.52120145028564,5.25798319327733,2.67044817927169,0.91611789508158,0.71445,1.30282155765051
"35",5.11857499147854,5.66197706808293,-3.83748188462614,3.62412700634023,4.4941008285158,7.56190476190477,4.16229086229086,3.62412700634023,0.89173,1.56993459606839
"36",4.2611897661558,4.97894629672507,-3.77861991388259,3.13506374936857,3.96305769955217,7.28603603603602,3.19612375533428,3.13506374936857,0.93525,3.42260593858838
"37",5.47911797774448,6.39703966728608,-1.35397541766449,6.16278683781036,5.57877387601957,9.26884779516358,4.30523033154613,6.16278683781036,1.0429,2.98895181136291
"38",4.57153258913594,5.64508872196976,-1.1395410369079,4.15472322071292,5.08601753706941,9.06113360323887,3.33714574898785,4.15472322071292,1.2386,4.58760258772993
"39",3.9836151955347,5.17813803959476,-0.651504882810116,4.93554318421648,4.93281007035159,9.13269230769231,2.71378986866792,4.93554318421648,1.3345,3.83480610028881
"40",3.58445167698336,4.87173431114827,-0.000117439320774793,2.45514451092265,4.97248980903336,9.36695121951219,2.29142857142857,2.45514451092265,1.3137,3.75752651019165
"41",1.82616553824522,3.13373143672034,-0.991347969036269,2.30255413787967,3.61376089504558,8.02822299651568,0.512827161494187,2.30255413787967,1.0307,3.22868167548512
"42",2.13847083764708,3.46331652315403,0.152801379658939,1.39415011335831,4.31442449196702,8.80143964562569,0.798293566898224,1.39415011335831,0.90037,2.08747159380305
"43",3.05983974482913,4.42141424855417,2.08485955196866,2.28847332670137,5.61759531479753,10.3150105708245,1.69929527836507,2.28847332670137,1.012,2.30856901030818
"44",2.44891602937975,3.81787913631808,2.39554125173626,6.41084150585659,5.36286567617615,10.2257575757576,1.06044137022397,6.41084150585659,1.0379,3.2929796561816
"45",3.02499777825034,4.41236263120976,4.00893299263879,7.78779607427499,6.30217494483287,11.4139130434783,1.61937095282147,7.78779607427499,1.161,3.67993639838877
"46",2.21875958699439,3.59124827393825,4.10995530122199,5.52763311637508,5.83488868074252,11.1177613320999,0.777277983348739,5.52763311637508,1.5962,4.49270265537795
"47",3.60317560174289,5.00091237049378,6.65686669660403,9.64541501665806,7.58399876928039,13.2218085106383,2.16525184541902,9.64541501665806,2.2591,3.76659377520841
"48",3.75000877955077,5.17369825555511,8.01437346268196,13.022609400912,8.09910937499314,14.1335034013605,2.32698979591837,13.022609400912,2.6295,5.68553234746278
"49",0.825628050246308,2.174587488528,5.78772689830637,7.47367632492845,5.48874081297533,11.5544489795918,-0.690352941176428,7.47367632492845,2.3193,6.80956604238086
"50",0.308015570427699,1.56108223291119,5.84816840972852,1.94707565474931,5.25862021516631,11.288,-1.3357556561086,1.94707565474931,1.6283,3.86784218308538
"51",-1.87144788670562,-0.788605555560196,3.81668043759404,-1.67279096203928,3.2725503745455,9.00090497737554,-3.75744045078119,-1.67279096203928,0.78028,2.56605871162228
"52",-2.85247470427589,-1.97287513325452,2.74123086080468,-0.57130950146115,2.40210818117072,7.71095791001451,-5.05256813417191,-0.57130950146115,0.027982,0.279891719417801
"53",-0.615047391132009,0.137701325705308,5.21797543794247,-0.740401098397892,4.725007453504,9.93878406708595,-3.03207547169814,-0.740401098397892,-0.41756,-0.300442892979762
"54",0.707731797637138,1.38306143812235,6.98402200756755,3.06415039975643,6.11339106821918,11.4426262626263,-1.85502886002885,3.06415039975643,-0.66181,1.2458022355943
"55",-0.169265548930184,0.406450085152301,6.37401588884819,5.74346592613409,5.27309151583418,10.6024675324676,-2.92535201640467,5.74346592613409,-1.0283,2.8819708657382
"56",-0.706703295438359,-0.241728041358584,5.97664271190536,2.80698659046696,4.75690202197146,10.0001879699248,-3.69000194451647,2.80698659046696,-1.4228,2.75088835235296
"57",0.558274262098507,0.961400037690254,7.57693692259761,1.41364454785564,6.05738075425638,11.3894736842105,-2.56981451290414,1.41364454785564,-1.7892,1.75051904652136
"58",0.357907979487749,0.70024966773812,7.66009820487793,2.68085587784071,5.88228671730904,11.279544126242,-2.92174167153709,2.68085587784071,-2.4545,2.3345689585179
"59",1.94850245003474,2.29000343650122,9.80658456196537,5.49870179109293,7.54053103308098,13.2250847457627,-1.36180050013891,5.49870179109293,-2.8898,2.38370117233499
"60",0.938096024357719,1.25241610874485,9.17374830142239,3.86594794716892,6.59129912523343,12.4189617486339,-2.46363564251718,3.86594794716892,-2.7867,4.04896215465116
"61",1.38847377430167,1.69615421730117,10.0739049028501,4.94746928129919,7.1323713745659,13.1554732945532,-2.06251416484099,4.94746928129919,-2.2233,3.09622437851277
"62",0.91804525986521,1.20857194079238,9.96404006774634,2.47763794114976,6.75197239798468,12.9018433179724,-2.61075748847927,2.47763794114976,-1.625,3.75540652257806
"63",1.64066443175565,1.94212057181537,11.1682883276785,4.29558824836468,7.58961303136933,13.9707341269841,-1.90057234432234,4.29558824836468,-1.1676,3.11320399901205
"64",0.98251854341791,1.27685326789029,10.8715497114957,3.70151227835861,7.04007510673398,13.5592307692307,-2.6178671328671,3.70151227835861,-0.71862,4.10156985941776
"65",3.07257025859357,3.43179709232473,13.6938233549288,6.29658655907689,9.2953371375496,16.2676923076923,-0.39906481578123,6.29658655907689,0.084594,3.68928480584677
"66",2.9159919172748,3.33764109985344,14.2610128786255,7.34611632256916,9.31998407998427,16.7386702849389,-0.423573309920982,7.34611632256916,1.0085,5.89057860578999
"67",3.44513485662475,3.94783956155015,15.6260313075683,11.5235361722446,10.0762459346102,18.0222563652326,0.300236668320792,11.5235361722446,1.7577,6.26289689236438
"68",1.95242541166411,2.48666075901568,14.7181758060661,6.22223910633978,8.80636269778722,17.0566496163683,-1.12418706613082,6.22223910633978,2.1235,7.75263585320458
"69",2.95388834694614,3.55118613843217,16.4842048843409,6.70735644588538,10.069785318482,18.779917184265,0.0447554894584812,6.70735644588538,2.5435,5.92692676270487
"70",2.96897427759205,3.62815088324461,17.2775306596835,6.75452869484289,10.3555936303663,19.5495774647887,0.237437961099943,6.75452869484289,3.0028,6.9776680912292
"71",2.27511440386769,2.9707671017639,17.2446677531174,10.2100594000131,9.93230891462711,19.5132629107981,-0.341751881149918,10.2100594000131,3.2752,7.27506406093748
"72",0.63028010019471,1.3047936630106,15.9582029501969,5.81902897481532,8.5262880782055,18.2422374429224,-2.04042792792794,5.81902897481532,3.2541,7.66325311782478
"73",0.820182140409287,1.47643559740871,16.5136547844687,3.80080567005096,8.94325100791544,18.8306923361718,-1.89604590892259,3.80080567005096,3.1737,5.82966274161842
"74",1.75310848190645,2.41964322710166,17.9586524689001,4.77273622624675,10.0987167255595,20.3282162162162,-0.917743954480784,4.77273622624675,3.122,5.75144874989341
"75",1.02074476644117,1.67183638667208,17.595465558833,8.75390923029287,9.56086400887949,20.0344210526316,-1.68471086807926,8.75390923029287,2.9107,6.70559703949936
"76",-0.0672217387629246,0.530889279345729,16.6579154130958,7.1743017871397,8.63485064772402,19.1799043062201,-2.93335743204165,7.1743017871397,2.8312,6.97041559973385
"77",-1.81487536820296,-1.32880651340221,14.7062020761351,2.73921536173937,6.98574091789823,17.3185814185814,-5.05104895104898,2.73921536173937,3.1136,5.97460868836661
"78",-3.5711803645143,-3.25572442779244,12.3659755674885,0.515037948452041,5.24251531013793,15.0704316780266,-7.40223953261929,0.515037948452041,3.5635,3.91609239868164
"79",-4.49569933753631,-4.38025163713374,10.6073882046033,-1.57223894647771,4.24128397917243,13.4043670886076,-9.06341303328642,-1.57223894647771,3.9115,2.13430083402653
"80",-6.89308468467863,-7.05343073677204,6.8489978125169,-2.59302967679776,1.63137244985515,9.72388888888889,-12.5148193315266,-2.59302967679776,3.6505,0.802853770690233
"81",-8.09596839571662,-8.56612301160854,3.94734669064869,-4.3529676045748,0.0926046038613956,6.8849744052996,-14.9646825785527,-4.3529676045748,2.7367,-1.5548162992052
"82",-6.79808405329385,-7.52593855066567,3.6561259782062,-5.92087794110363,0.974867881914,6.65548045841905,-14.8099911842492,-5.92087794110363,1.7523,-3.36175012067078
"83",-5.68848593697891,-6.62452834820354,3.28068169927911,-1.87636784422184,1.60682030522308,6.33967297762479,-14.7411157233978,-1.87636784422184,0.82164,-3.4011724938871
"84",-5.71354735999995,-6.84382154019684,1.69182467217277,1.71253434520528,1.0545042473869,4.79767507002799,-15.8266718780535,1.71253434520528,-0.1332,-2.54220870565276
"85",-6.56520072865462,-7.90251545881043,-0.94711158432986,-0.0197156770166606,-0.374091575449949,2.1811491108071,-17.8573668569272,-0.0197156770166606,-0.94396,-2.55503790497201
"86",-8.05863096730255,-9.6369372392279,-4.5746437825272,-3.62992583652367,-2.51161261999922,-1.46150761828389,-20.7338521542611,-3.62992583652367,-1.5034,-4.15594968731356
"87",-9.95179885628252,-11.8180969607757,-9.03660091949709,-8.76115735689521,-5.14085265450647,-5.98944618599791,-24.2756753900884,-8.76115735689521,-2.1084,-6.63344361426728
"88",-9.40410784794545,-11.5238495390336,-11.0664336782917,-11.6904092518046,-5.3862405952998,-8.1162921348315,-25.3420752468505,-11.6904092518046,-2.5172,-9.81639275146254
"89",-9.15577244762744,-11.5025785337087,-13.4409039277171,-11.8638805152212,-5.99383142035846,-10.6250187265918,-26.6991266411491,-11.8638805152212,-2.5678,-10.8872254093367
"90",-6.91386343999179,-9.39449159736938,-13.4906416379445,-5.73921162676347,-4.60367079404321,-10.8220268620269,-25.7838254499124,-5.73921162676347,-2.3309,-11.6260745438772
"91",-6.24614834572941,-8.81896376983255,-15.0294220347405,-4.68892631658825,-4.78802421681822,-12.5387482083134,-26.3437818843149,-4.68892631658825,-2.0912,-9.72841244632103
"92",-4.69333994064289,-7.28874975087524,-15.4211045629361,-1.59868679014968,-4.0372200851816,-13.126157082749,-25.7924047327743,-1.59868679014968,-2.1355,-9.78462793131978
"93",-2.30777020624345,-4.83022484385083,-14.5387566059278,-3.21745077689267,-2.36623047531101,-12.4407229466941,-24.0522089368927,-3.21745077689267,-2.0459,-8.79746361994631
"94",-0.988610966060634,-3.38023761578799,-14.438563987664,0.225963163821069,-1.66887998068921,-12.5477043673012,-23.1428051511758,0.225963163821069,-1.6656,-7.89308142233552
"95",0.327914155994335,-1.87876703969764,-14.0380626085556,1.96031999733384,-0.859270893059103,-12.3599342105263,-21.9902414541508,1.96031999733384,-1.465,-6.69185841095225
"96",1.13323901631972,-0.855251339302498,-13.9214786458705,0.658727389506213,-0.44972406881124,-12.4649054982818,-21.1644428518831,0.658727389506213,-1.4827,-5.70568732606211
"97",4.07010677476555,2.39952649816155,-11.048462940349,1.43179999783628,2.25419957430214,-9.78074900063118,-17.7226867879298,1.43179999783628,-1.2591,-5.51907307647284
"98",3.6888242540804,2.32236142623589,-11.4351133590821,3.42146396273175,1.74187220217478,-10.3698206555349,-17.5550092764378,3.42146396273175,-1.2139,-3.26938549417384
"99",5.06033071025411,4.03716094723515,-9.70335209294984,5.68436302159417,3.12728901870582,-8.82090909090908,-15.35599759976,5.68436302159417,-1.3439,-3.08522350451495
"100",3.72527295534519,2.99127007571934,-10.7927878183296,1.36007656161095,1.87552146526768,-10.1170099009901,-15.9639580663949,1.36007656161095,-1.6036,-1.54761483375163
"101",4.73319688513794,4.30783148341089,-9.2537090653166,2.41992811279073,3.07178641953681,-8.76592894583578,-14.017047118761,2.41992811279073,-1.6581,-3.09162236900522
"102",5.91284098647012,5.81931749483431,-7.21738409572507,0.342318364508267,4.53046647020631,-6.88857795545402,-11.657039933225,0.342318364508267,-1.3903,-1.92141739172561
"103",6.80367534692138,7.05375022445648,-5.18679235620812,5.92853520814802,5.79237698270207,-4.98562359970128,-9.38043315907396,5.92853520814802,-1.0658,-1.0297042205735
"104",8.6428755009342,9.27778068490264,-1.7467710875587,8.19855429503571,8.12230102706651,-1.61456043956042,-5.8088300850093,8.19855429503571,-0.6338,1.12640659212506
"105",8.48102045414956,9.47406206923563,-0.193751267081353,10.0739959799525,8.53460505588832,-0.102210242587574,-4.17410736327682,10.0739959799525,-0.50706,3.51075623745283
"106",8.56177290030772,9.89194946389318,1.74729452464655,11.529573134608,9.27723383279657,1.83528478222536,-2.20847097317738,11.529573134608,-0.54803,4.42452508688561
"107",6.83606187838154,8.4210871934113,1.68887827842192,7.37434130345127,8.24176189085857,1.77476635514017,-2.23910467099185,7.37434130345127,-0.33944,5.4637351428563
"108",5.8632577388851,7.64467408377556,2.29278008571524,6.09168222148481,7.97674242767132,2.39058783554194,-1.62247706422019,6.09168222148481,0.010594,4.20633174748767
"109",4.71466153908236,6.62877711750903,2.57653811237407,2.94872600056309,7.51689649166743,2.69457881567973,-1.33140229470504,2.94872600056309,0.18749,3.96707660865971
"110",2.57181576272873,4.52340371321313,1.51737817775657,3.7764416445107,5.99948344456794,1.63744471744477,-2.35379782379786,3.7764416445107,0.05813,3.19327324124188
"111",-0.477866592754481,1.38793418605064,-0.998695548221008,1.51389624539826,3.46285350760322,-0.92548262548263,-4.76981241671507,1.51389624539826,-0.64026,2.26272525226858
"112",-4.26428893982401,-2.62890101302409,-4.98267393055642,-2.73722888179189,0.0198462236351553,-5.03803729456382,-8.56023396433562,-2.73722888179189,-1.8321,-0.119572785236182
"113",-4.71772577968281,-3.34253131126545,-5.81065139982553,-7.5097684727783,-0.229384754250306,-6.01443875174661,-9.18325469310059,-7.5097684727783,-2.6888,-3.72167251476969
"114",-6.0939894759286,-5.03280112992599,-7.90785730113652,-7.8814778895156,-1.57640672096239,-8.30762776506481,-11.0364041663379,-7.8814778895156,-3.0777,-5.14350029851091
"115",-5.29924024334474,-4.52828770889374,-7.79852801716308,-2.99151911265683,-0.866272016563289,-8.39637181409296,-10.6963602813977,-2.99151911265683,-3.1245,-6.48589739288356
"116",-4.46548511925732,-3.95386022705242,-7.5886575634861,-3.33083906900486,-0.209947410260556,-8.38426171529616,-10.2705105726147,-3.33083906900486,-2.9019,-5.31814696633288
"117",-4.73840512869995,-4.48753463095161,-8.60750651021959,0.905509697970158,-0.742545957864852,-9.62746631899174,-11.0616472925546,0.905509697970158,-2.6157,-5.03239880379325
"118",-4.13117281081716,-4.1105121062426,-8.70662390244382,-0.226874488658729,-0.437105174720207,-9.95781227745334,-10.9412298817832,-0.226874488658729,-2.2358,-4.7240863913996
"119",-4.27288040629193,-4.47425598326259,-9.63771912605102,-1.7943039522767,-0.926320449716931,-11.1459243697479,-11.6443843322453,-1.7943039522767,-1.6405,-4.75927723393198
"120",-4.29065637763662,-4.70044708081602,-10.5030806586916,-1.00620768153935,-1.32210392109707,-12.2933884297521,-12.2757637853949,-1.00620768153935,-0.9504,-5.40032809539093
"121",-3.96912550103488,-4.56149291638019,-11.021378626922,-2.76227353188746,-1.39685878909103,-13.1115160547351,-12.561332822243,-2.76227353188746,-0.38128,-5.53778499584475
"122",-4.66263508199123,-5.44475979775063,-12.7232983830501,-2.5637209859643,-2.52091305564002,-15.1592962814874,-14.0111619868182,-2.5637209859643,-0.49602,-5.91361665394144
"123",-4.95294481631606,-5.9187544541839,-14.1235249693464,-3.46567216196965,-3.26666493558097,-16.9457251507999,-15.1473170731707,-3.46567216196965,-1.279,-6.78832424568518
"124",-1.15704386969458,-2.16493401830749,-10.7934274633868,-4.94201714633904,0.13887366523302,-13.9292,-11.6208651305684,-4.94201714633904,-1.5344,-7.70387935693123
"125",-0.255069375319295,-1.25862017317769,-10.1811946412247,0.0833737874011393,0.685046090283681,-13.6209142857143,-10.830850543682,0.0833737874011393,-1.2499,-5.58561297035224
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
